epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,34362.6,1.04544,0.70946,1.14875,0.86909,0.31055,0.41951,0.26356,1.15377,0.72816,1.1855,0.001486,0.001486,0.001486
88,34595.7,1.04551,0.69737,1.14576,0.87004,0.31051,0.42074,0.26471,1.15398,0.72792,1.18587,0.001387,0.001387,0.001387
89,34828.4,1.04078,0.70046,1.14323,0.86924,0.31052,0.42104,0.26471,1.15396,0.72753,1.18584,0.001288,0.001288,0.001288
90,35063.1,1.03619,0.69745,1.14404,0.86003,0.31219,0.42104,0.26472,1.15387,0.72752,1.186,0.001189,0.001189,0.001189
91,35297.3,1.00131,0.58379,1.11179,0.86195,0.31203,0.40164,0.26277,1.15386,0.72714,1.18612,0.00109,0.00109,0.00109
92,35530.6,0.98058,0.56141,1.1011,0.86077,0.31315,0.40109,0.26347,1.15378,0.72723,1.18644,0.000991,0.000991,0.000991
93,35763.7,0.97191,0.55707,1.09861,0.86122,0.31386,0.4015,0.26368,1.15382,0.72776,1.18661,0.000892,0.000892,0.000892
94,35996.9,0.96501,0.54739,1.09266,0.86133,0.31416,0.40504,0.26365,1.15351,0.72812,1.18678,0.000793,0.000793,0.000793
95,36230.9,0.95561,0.54192,1.08697,0.86134,0.31477,0.40458,0.26393,1.15373,0.72834,1.18693,0.000694,0.000694,0.000694
96,36466.8,0.94898,0.533,1.0839,0.86166,0.31546,0.40532,0.26467,1.15341,0.72836,1.18697,0.000595,0.000595,0.000595
97,36699.9,0.94183,0.52986,1.08096,0.85837,0.31697,0.40569,0.26572,1.15277,0.72884,1.18679,0.000496,0.000496,0.000496
98,36933.2,0.93603,0.52405,1.07517,0.86726,0.31177,0.40521,0.2653,1.15284,0.72965,1.18699,0.000397,0.000397,0.000397
99,37166.2,0.93134,0.51821,1.07283,0.86941,0.31174,0.40538,0.26493,1.15322,0.72988,1.18767,0.000298,0.000298,0.000298
100,37398.8,0.92861,0.51744,1.06978,0.87112,0.31476,0.40614,0.26515,1.15328,0.73015,1.18806,0.000199,0.000199,0.000199
